13209,13243,17866,,,,,2.840647,-48.106998,335.942,45.72,0.33,0.0,8.910,3.846,G2/G3V,0.662,50.612317,46.556332,-76.662515,-0.00001536,0.00001688,0.00000011,0.743679709497129,-0.8396255010010063,0.00000022165681474999997,0.000000001599885,,,,1,13209,,2.52115763080741,,,
13557,13591,18335,,,,,2.918848,-45.060445,655.02,-28.45,-82.59,0.0,9.520,3.006,G2/G3V,0.679,102.403712,98.142264,-142.139020,-0.00002192,-0.00005937,-0.00005679,0.764152628116944,-0.7864531335666575,-0.00000013792949211805554,-0.000000400407618,,,,1,13557,,5.465123745198722,,,
14082,14116,19028,,,,,3.033910,-44.382357,251.31,7.20,19.45,0.0,9.100,4.666,G2/G3V,0.598,38.586635,39.277904,-53.886232,0.00000164,0.00000551,0.00000519,0.7942756554326188,-0.774618263907725,0.000000034906585,0.00000009429626,,,,1,14082,,1.1846771175814843,,,
14896,14931,20057,,,,,3.209354,-26.953490,372.375,4.07,-2.31,0.0,9.610,4.323,G2/G3V,0.599,67.902108,75.785320,-51.742839,-0.00000206,0.00000107,-0.00000114,0.840206811654272,-0.47042714999296503,0.000000019731916798611115,-0.000000011199196,,,,1,14896,,1.6248003352273184,,9.67,9.55
15446,15484,,,,,,3.326508,-38.185051,418.205,14.10,-36.44,0.0,10.380,4.840,G2,,64.912530,77.079618,-79.256820,-0.00001572,-0.00000506,-0.00001780,0.8708776451388784,-0.6664548588284187,0.00000006835872895833333,-0.000000176666105,,,,1,15446,,1.0092528860766843,,10.447,10.337
15553,15592,,,,,,3.346936,-4.324393,586.691,-12.39,-8.29,0.0,9.590,3.315,G2,0.450,114.790150,137.795202,-13.561736,0.00000795,-0.00000733,-0.00000721,0.8762259044013686,-0.07547489567172251,-0.00000006006841502083333,-0.000000040191054,,,,1,15553,,4.111497211045221,,,
15999,16038,21520,,,,,3.442691,-43.613568,278.328,-0.64,-23.84,0.0,9.170,4.515,G2/G3V,0.626,38.337568,48.440035,-58.855866,-0.00000401,-0.00000550,-0.00000714,0.9012943758504338,-0.7612003663213338,-0.000000003102807555555556,-0.000000115579581,,,,1,15999,,1.3614446824659499,,,
16480,16521,22250,,,,,3.545207,-51.789016,376.24,104.72,109.29,0.0,9.470,4.160,G2/G3V,0.609,42.758878,57.111792,-90.627294,-0.00001809,0.00007353,0.00003780,0.928133091347755,-0.9038888397873788,0.0000005076968862777777,0.000000529852871,,,,1,16480,,1.8879913490962925,,,
16793,16834,22493,,,,,3.610784,-13.318605,436.68,31.00,-5.88,0.0,9.670,4.037,G2/G3V,0.694,76.271931,105.605007,-30.838783,-0.00001682,0.00001107,-0.00000371,0.9453009930571086,-0.232453502436635,0.00000015029224097222222,-0.000000028507044,,,,1,16793,,2.1144625616525903,,,
16798,16839,22706,,,,,3.612082,-52.014509,557.607,6.53,-3.55,0.0,9.440,3.276,G2/G3V,0.587,61.569693,85.309577,-134.729362,-0.00000574,0.00000129,-0.00000181,0.9456407570104167,-0.9078244445952437,0.00000003165833334027778,-0.000000017210885,,,,1,16798,,4.261868054241604,,,
16904,16945,22867,,,,,3.634225,-51.591955,539.174,-2.37,33.84,0.0,9.850,3.759,G2/G3V,0.656,59.611297,83.613209,-129.521725,0.00001388,0.00001620,0.00001685,0.9514377804617631,-0.9004494754666962,-0.000000011490084229166667,0.000000164060949,,,,1,16904,,2.731492422089182,,,
17216,17258,23149,,,,,3.696956,-28.787772,412.39,-2.87,9.48,0.0,9.340,3.831,G2/G3V,0.574,62.829254,91.261248,-60.880762,0.00000304,0.00000131,0.00000509,0.9678608672511644,-0.5024414058470601,-0.000000013914152631944445,0.000000045960336,,,,1,17216,,2.556230427112545,,9.398,9.288
18381,18429,24989,,,,,3.941016,-42.625954,753.349,20.55,5.19,0.0,9.540,2.722,G2/G3V,0.773,87.226473,145.832924,-156.399397,-0.00001772,0.00001519,0.00000428,1.0317555477555993,-0.7439632408339875,0.00000009962921135416668,0.00000002516183,,,,1,18381,,7.099046158552872,,,
19252,19300,26405,,,,,4.137340,-49.182328,333.197,101.62,23.06,0.0,9.280,4.234,G2/G3V,0.583,31.283456,58.985113,-77.302670,-0.00004040,0.00003121,0.00000746,1.083152987842044,-0.8583935557672024,0.0000004926676621805556,0.000000111798034,,,,1,19252,,1.7635996338979947,,,
20002,20052,27471,,,,,4.300036,-45.651061,184.19,57.07,55.37,0.0,7.530,3.771,G2/G3V,0.629,16.992215,35.625879,-40.378106,-0.00000943,0.00001651,0.00001059,1.1257467819777156,-0.7967613241383275,0.00000027668316749305556,0.000000268441334,,,,1,20002,,2.7014690729572464,,,
20452,20504,28166,,,,,4.394381,-53.851109,932,-19.57,1.40,0.0,10.000,2.720,G2/G3V,0.570,68.777376,153.866772,-230.710534,0.00002538,-0.00000963,0.00000114,1.1504463788171737,-0.9398791666103287,-0.00000009487803728472222,0.000000006787391,,,,1,20452,,7.11213513653329,,,
20596,20649,28197,,,,,4.424795,-34.863518,311.259,-3.78,-8.57,0.0,9.430,4.532,G2/G3V,0.631,31.379866,71.729855,-54.544203,0.00000069,-0.00000278,-0.00000325,1.158408682647875,-0.608483171549655,-0.000000018325957124999998,-0.000000041548532,,,,1,20596,,1.3402937734183094,,,
20706,20758,28325,,,,,4.447833,-29.335685,1331.43,42.76,-42.83,0.0,9.450,1.396,G2/G3IV/V,0.724,140.644013,326.846596,-199.969606,-0.00009413,-0.00000470,-0.00007388,1.164439877930386,-0.5120042858998662,0.00000020730632980555554,-0.000000207645699,,,,1,20706,,24.07686845612446,,9.498,9.388
20841,20893,28437,,,,,4.477552,-11.958495,663.008,3.61,5.68,0.0,7.630,1.090,G2/G3V,0.754,77.171442,183.254790,-42.114437,-0.00000283,0.00000245,0.00000548,1.1722204321405214,-0.20871510904760124,0.000000017501773868055555,0.000000027537417,,,,1,20841,,31.915378551007617,,,
